,index,empty_slots,free_bikes,name,latitude,longitude,ll
0,0,3,16,Queen St E / Woodward Ave,43.665269,-79.319796,"43.665269,-79.319796"
1,1,13,2,Primrose Ave / Davenport Rd,43.67142,-79.445947,"43.67142,-79.445947"
2,2,9,14,Queen St. E / Rhodes Ave.,43.666224,-79.317693,"43.666224,-79.317693"
3,3,9,15,Bond St / Queen St E,43.653236,-79.376716,"43.653236,-79.376716"
4,4,9,18,Church St / Alexander St,43.663722,-79.380288,"43.663722,-79.380288"
5,5,17,6,University Ave / Gerrard St W (East Side),43.657763,-79.389165,"43.657763,-79.389165"
6,6,12,10,Edward St / Yonge St,43.656729,-79.382736,"43.656729,-79.382736"
7,7,16,2,Euclid Ave / Bloor St W,43.664467,-79.414783,"43.664467,-79.414783"
8,8,0,15,Yonge St / Aylmer Ave,43.675492,-79.388858,"43.675492,-79.388858"
9,9,4,6,Davenport Rd / Avenue Rd,43.674991,-79.396273,"43.674991,-79.396273"
10,10,12,4,Yonge St / Yorkville Ave,43.671944,-79.387778,"43.671944,-79.387778"
11,11,8,10,Dundas St E / Broadview Ave,43.662365,-79.351104,"43.662365,-79.351104"
12,12,20,27,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,"43.646144,-79.377962"
13,13,3,6,Gerrard St E / River St,43.663993,-79.358534,"43.663993,-79.358534"
14,14,17,9,Jarvis St / Dundas St E,43.657266,-79.374756,"43.657266,-79.374756"
15,15,10,4,Logan Av / Gerrard St E,43.6672144,-79.3452697,"43.6672144,-79.3452697"
16,16,13,2,Regal Rd / Dufferin St,43.673939,-79.441159,"43.673939,-79.441159"
17,17,0,9,Morse St / Eastern Ave,43.657991,-79.340075,"43.657991,-79.340075"
18,18,10,10,Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,"43.66745,-79.329408"
19,19,14,0,Blake St / Boultbee Ave,43.672453,-79.338259,"43.672453,-79.338259"
20,20,6,8,Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,"43.6592088,-79.3348396"
21,21,14,7,Gamble Ave / Broadview Ave,43.689211,-79.35438,"43.689211,-79.35438"
22,22,10,6,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,"43.656927,-79.378497"
23,23,9,7,Dundas St E / Pembroke St - SMART,43.658295,-79.372346,"43.658295,-79.372346"
24,24,14,5,Victoria Park Subway Station - SMART,43.6940155,-79.2889842,"43.6940155,-79.2889842"
25,25,11,5,Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,"43.6809164,-79.4229684"
26,26,14,1,Lawton Blvd / Yonge St,43.6910667,-79.39535,"43.6910667,-79.39535"
27,27,15,0,Yonge St / Davisville Ave,43.6975969,-79.39654,"43.6975969,-79.39654"
28,28,19,11,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,"43.639832,-79.395954"
29,29,8,10,St. George St / Bloor St W,43.667333,-79.399429,"43.667333,-79.399429"
30,30,4,18,King St W / York St,43.6480008,-79.383177,"43.6480008,-79.383177"
31,31,3,6,University Ave / Elm St,43.656518,-79.389099,"43.656518,-79.389099"
32,32,14,1,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,"43.687999,-79.38906"
33,33,8,6,Bloor St W / Dundas St W,43.6563889,-79.45166666666667,"43.6563889,-79.45166666666667"
34,34,6,12,Bathurst St / Fort York Blvd,43.639179,-79.399595,"43.639179,-79.399595"
35,35,6,8,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,"43.6616667,-79.40138888888889"
36,36,7,12,Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,"43.66666667,-79.45833333333334"
37,37,8,6,Dundas St W / Edna Ave,43.657192,-79.452559,"43.657192,-79.452559"
38,38,5,9,College St / Major St,43.6576,-79.4032,"43.6576,-79.4032"
39,39,10,7,McGill St / Church St,43.660694,-79.379052,"43.660694,-79.379052"
40,40,1,21,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,"43.636533,-79.395854"
41,41,7,10,College Park South,43.659777,-79.382767,"43.659777,-79.382767"
42,42,1,10,25 York St – Union Station South,43.643667,-79.380414,"43.643667,-79.380414"
43,43,13,9,161 Bleecker St (South of Wellesley),43.666233,-79.373327,"43.666233,-79.373327"
44,44,17,2,Spadina Ave / Fort York Blvd,43.640114,-79.393249,"43.640114,-79.393249"
45,45,1,8,Augusta Ave / Denison Sq,43.653766,-79.4016759,"43.653766,-79.4016759"
46,46,18,4,Lansdowne Subway Station,43.6587734,-79.443054,"43.6587734,-79.443054"
47,47,14,0,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,"43.6538888888889,-79.4413888888889"
48,48,17,2,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,"43.6508333333333,-79.4430555555556"
49,49,13,2,St Clarens Ave / College St,43.651238,-79.43868,"43.651238,-79.43868"
50,50,9,2,Ossington Ave / College St,43.6544915,-79.422634,"43.6544915,-79.422634"
51,51,11,0,High Park Subway Station,43.6543604,-79.4655296,"43.6543604,-79.4655296"
52,52,14,2,Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,"43.635932,-79.465083"
53,53,4,8,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,"43.654501,-79.460053"
54,54,6,13,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,"43.634896,-79.467763"
55,55,20,10,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,"43.6314,-79.4304"
56,56,5,14,Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,"43.636731,-79.444966"
57,57,9,3,Dundas St W / Roncesvalles Ave Green P -SMART,43.6534268,-79.4512787,"43.6534268,-79.4512787"
58,58,14,2,Erskine Ave / Yonge St SMART,43.7112153,-79.39894,"43.7112153,-79.39894"
59,59,6,9,D'Arcy St / McCaul St - SMART,43.655227,-79.39201,"43.655227,-79.39201"
60,60,9,3,Mortimer Ave / Carlaw Ave SMART,43.685167,-79.34962,"43.685167,-79.34962"
61,61,4,3,Cumberland Ave / Bay St SMART,43.6704537,-79.39014,"43.6704537,-79.39014"
62,62,18,2,20 Charles St E,43.6691099,-79.38551,"43.6691099,-79.38551"
63,63,3,12,Niagara St / Tecumseth St,43.641389,-79.404444,"43.641389,-79.404444"
64,64,7,7,424 Wellington St W,43.643834,-79.396649,"43.643834,-79.396649"
65,65,3,13,Dundas St W / St. Patrick St,43.6545174,-79.3895315,"43.6545174,-79.3895315"
66,66,12,5,Robert St / Bloor St W - SMART,43.665846,-79.404998,"43.665846,-79.404998"
67,67,7,0,John St  / Mercer St - SMART,43.6461,-79.3895,"43.6461,-79.3895"
68,68,1,10,Queen St E / Hammersmith Ave,43.671349,-79.29451,"43.671349,-79.29451"
69,69,12,3,Queen St. E / Eastern Ave,43.667208,-79.312315,"43.667208,-79.312315"
70,70,11,8,Hubbard Blvd / Balsam Av,43.669328,-79.288949,"43.669328,-79.288949"
71,71,6,9,Queen St. E / Spruce Hill Rd.,43.672571,-79.289,"43.672571,-79.289"
72,72,0,18,Lower Spadina Ave / Lake Shore Blvd W,43.638497,-79.39192,"43.638497,-79.39192"
73,73,3,12,Lower Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223,"43.662771,-79.315223"
74,74,6,4,Amelia St. / Sumach St.,43.66852,-79.363525,"43.66852,-79.363525"
75,75,1,11,Augusta Ave / Dundas St W,43.652473,-79.401456,"43.652473,-79.401456"
76,76,0,23,Queen St W / Ossington Ave,43.643975,-79.419576,"43.643975,-79.419576"
77,77,2,16,Trinity St /Front St E,43.651318,-79.36023,"43.651318,-79.36023"
78,78,4,25,Dundas St W / Yonge St,43.656094,-79.381484,"43.656094,-79.381484"
79,79,8,1,Kendal Ave / Spadina Rd,43.670318,-79.405181,"43.670318,-79.405181"
80,80,18,9,Davenport Rd / Bathurst St,43.676667,-79.416111,"43.676667,-79.416111"
81,81,9,14,Queen St W / Close Ave,43.640634,-79.435841,"43.640634,-79.435841"
82,82,1,12,King St W / Joe Shuster Way,43.639444,-79.423611,"43.639444,-79.423611"
83,83,10,1,Yarmouth Rd / Christie St,43.67,-79.42083333333333,"43.67,-79.42083333333333"
84,84,15,0,Palmerston Ave / Vermont Ave,43.671389,-79.416389,"43.671389,-79.416389"
85,85,8,11,Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,"43.68,-79.42500000000001"
86,86,1,12,King St W / Fraser Ave,43.6394444,-79.42527777777778,"43.6394444,-79.42527777777778"
87,87,10,5,Macpherson Ave / Spadina Rd,43.675791,-79.40698,"43.675791,-79.40698"
88,88,3,11,Bridgman Ave / Kendal Ave,43.675556,-79.410278,"43.675556,-79.410278"
89,89,13,2,Bridgman Ave / Bathurst St,43.674444,-79.414722,"43.674444,-79.414722"
90,90,8,3,Kendal Ave / Bernard Ave,43.671513,-79.408317,"43.671513,-79.408317"
91,91,18,0,Pretoria Ave / Broadview Ave,43.6783213,-79.35822,"43.6783213,-79.35822"
92,92,15,8,Broadview Ave / Westwood Ave,43.6848652,-79.356602,"43.6848652,-79.356602"
93,93,14,5,Fulton Ave / Pape Ave,43.68395,-79.347046,"43.68395,-79.347046"
94,94,13,5,Cosburn Ave / Donlands Ave,43.690537,-79.341307,"43.690537,-79.341307"
95,95,13,1,Beltline Trail / Chaplin Cres.,43.704461,-79.423122,"43.704461,-79.423122"
96,96,5,14,Lake Shore Blvd E / Leslie St,43.659195,-79.329196,"43.659195,-79.329196"
97,97,4,12,King St E / Berkeley St,43.651885,-79.3649,"43.651885,-79.3649"
98,98,22,0,Rosedale Park (20 Scholfield Ave),43.682645,-79.377557,"43.682645,-79.377557"
99,99,6,9,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,"43.6475,-79.43305555555555"
100,100,2,3,Soho St / Queen St W,43.6494896,-79.393535,"43.6494896,-79.393535"
101,101,9,10,Davenport Rd / Lansdowne Ave,43.671526,-79.44874,"43.671526,-79.44874"
102,102,9,9,Front St W / University Ave (2),43.6452972,-79.3827914,"43.6452972,-79.3827914"
