,citybike_index,empty_slots,free_bikes,num_parks,ave_dis_park,num_plygrd,ave_dis_plygrd,num_sr,ave_dis_sr,med_rating,med_review
0,0,3.0,2.833213344056216,4.0,547.0,1.0986122886681098,150.5,0.6931471805599453,379.0,3.75,2.5649493574615367
1,1,13.0,1.0986122886681098,4.0,479.75,0.6931471805599453,61.0,0.0,,3.5,2.0794415416798357
2,2,9.0,2.70805020110221,4.0,590.75,1.0986122886681098,303.0,0.6931471805599453,257.0,3.75,2.5649493574615367
3,3,9.0,2.772588722239781,2.0,457.0,0.0,,0.6931471805599453,472.0,3.75,4.069026754237811
4,4,9.0,2.9444389791664403,2.0,753.5,0.6931471805599453,749.0,0.0,,3.5,1.791759469228055
5,5,17.0,1.9459101490553132,3.0,658.0,0.0,,0.0,,3.5,1.3862943611198906
6,6,12.0,2.3978952727983707,1.0,314.0,0.0,,0.0,,3.25,4.143134726391533
7,7,16.0,1.0986122886681098,5.0,488.2,0.6931471805599453,671.0,0.0,,4.0,0.6931471805599453
8,8,0.0,2.772588722239781,8.0,343.25,0.6931471805599453,323.0,0.6931471805599453,398.0,3.25,1.6094379124341003
9,9,4.0,1.9459101490553132,6.0,541.3333333333334,1.0986122886681098,455.0,1.0986122886681098,679.0,3.25,1.3862943611198906
10,10,12.0,1.6094379124341003,9.0,425.6666666666667,0.0,,0.6931471805599453,842.0,3.5,1.791759469228055
11,11,8.0,2.3978952727983707,5.0,585.8,1.0986122886681098,511.5,0.6931471805599453,287.0,4.0,2.4849066497880004
12,12,20.0,3.332204510175204,2.0,735.0,0.0,,0.0,,3.75,3.044522437723423
13,13,3.0,1.9459101490553132,5.0,464.8,0.6931471805599453,962.0,0.6931471805599453,459.0,4.0,2.4849066497880004
14,14,17.0,2.302585092994046,2.0,775.0,0.0,,0.6931471805599453,785.0,3.5,2.4849066497880004
15,15,10.0,1.6094379124341003,5.0,579.8,1.0986122886681098,525.5,1.3862943611198906,373.6666666666667,4.0,2.4849066497880004
16,16,13.0,1.0986122886681098,4.0,576.75,1.3862943611198906,615.0,0.6931471805599453,622.0,3.25,2.0794415416798357
17,17,0.0,2.302585092994046,5.0,552.0,1.3862943611198906,325.3333333333333,0.6931471805599453,413.0,3.75,2.1400661634962708
18,18,10.0,2.3978952727983707,4.0,361.5,1.0986122886681098,419.5,0.6931471805599453,281.0,3.5,1.0986122886681098
19,19,14.0,0.0,5.0,694.2,1.0986122886681098,529.0,0.6931471805599453,410.0,3.5,2.6741486494265287
20,20,6.0,2.1972245773362196,4.0,644.0,1.3862943611198906,482.0,0.0,,3.75,2.2512917986064953
21,21,14.0,2.0794415416798357,4.0,656.25,1.3862943611198906,479.0,0.0,,4.0,1.3862943611198906
22,22,10.0,1.9459101490553132,1.0,509.0,0.0,,0.0,,3.25,4.085976312551584
23,23,9.0,2.0794415416798357,3.0,913.6666666666666,0.0,,0.6931471805599453,874.0,3.75,4.07753744390572
24,24,14.0,1.791759469228055,3.0,653.0,0.6931471805599453,790.0,0.6931471805599453,790.0,1.0,0.6931471805599453
25,25,11.0,1.791759469228055,4.0,629.0,1.0986122886681098,531.0,0.6931471805599453,719.0,4.0,1.252762968495368
26,26,14.0,0.6931471805599453,5.0,627.6,0.6931471805599453,774.0,0.6931471805599453,840.0,4.25,1.5040773967762742
27,27,15.0,0.0,1.0,227.0,1.0986122886681098,449.0,0.0,,4.0,1.3862943611198906
28,28,19.0,2.4849066497880004,5.0,639.0,0.0,,1.0986122886681098,401.0,3.5,3.1354942159291497
29,29,8.0,2.3978952727983707,7.0,410.85714285714283,0.6931471805599453,303.0,0.6931471805599453,311.0,4.25,2.0149030205422647
30,30,4.0,2.9444389791664403,1.0,700.0,0.0,,0.0,,3.75,2.833213344056216
31,31,3.0,1.9459101490553132,3.0,680.3333333333334,0.0,,0.0,,3.5,1.3862943611198906
32,32,14.0,0.6931471805599453,5.0,568.8,1.3862943611198906,763.3333333333334,1.0986122886681098,791.5,4.5,1.7047480922384253
33,33,8.0,1.9459101490553132,3.0,704.0,1.6094379124341003,490.75,0.0,,4.0,1.6094379124341003
34,34,6.0,2.5649493574615367,5.0,549.0,0.0,,1.0986122886681098,460.0,3.5,3.1354942159291497
35,35,6.0,2.1972245773362196,7.0,523.7142857142857,0.0,,0.6931471805599453,744.0,4.0,0.6931471805599453
36,36,7.0,2.5649493574615367,8.0,642.375,0.0,,0.6931471805599453,670.0,3.25,0.6931471805599453
37,37,8.0,1.9459101490553132,4.0,702.75,1.3862943611198906,420.3333333333333,0.0,,4.0,0.6931471805599453
38,38,5.0,2.302585092994046,5.0,539.8,0.6931471805599453,184.0,0.0,,3.5,1.3862943611198906
39,39,10.0,2.0794415416798357,1.0,404.0,0.6931471805599453,857.0,0.0,,3.5,3.332204510175204
40,40,1.0,3.091042453358316,5.0,537.8,0.0,,1.0986122886681098,457.5,3.5,3.1354942159291497
41,41,7.0,2.3978952727983707,2.0,488.0,0.0,,0.0,,3.5,1.3862943611198906
42,42,1.0,2.3978952727983707,3.0,587.6666666666666,0.0,,0.0,,3.5,2.1972245773362196
43,43,13.0,2.302585092994046,2.0,622.5,0.6931471805599453,136.0,0.0,,3.5,1.3862943611198906
44,44,17.0,1.0986122886681098,3.0,610.3333333333334,0.0,,1.0986122886681098,475.5,3.5,3.1354942159291497
