,citybike_index,fsq_id,name,category_name,distance
0,0,4baa029cf964a52085433ae3,Woodbine Park,Park,379
1,0,4baa029cf964a52085433ae3,Woodbine Park,Sports and Recreation,379
20,2,4baa029cf964a52085433ae3,Woodbine Park,Park,257
21,2,4baa029cf964a52085433ae3,Woodbine Park,Sports and Recreation,257
40,69,4baa029cf964a52085433ae3,Woodbine Park,Park,344
41,69,4baa029cf964a52085433ae3,Woodbine Park,Sports and Recreation,344
60,73,4baa029cf964a52085433ae3,Woodbine Park,Park,232
61,73,4baa029cf964a52085433ae3,Woodbine Park,Sports and Recreation,232
80,146,4baa029cf964a52085433ae3,Woodbine Park,Park,1113
81,146,4baa029cf964a52085433ae3,Woodbine Park,Sports and Recreation,1113
100,192,4baa029cf964a52085433ae3,Woodbine Park,Park,908
101,192,4baa029cf964a52085433ae3,Woodbine Park,Sports and Recreation,908
120,262,4baa029cf964a52085433ae3,Woodbine Park,Park,469
121,262,4baa029cf964a52085433ae3,Woodbine Park,Sports and Recreation,469
140,311,4baa029cf964a52085433ae3,Woodbine Park,Park,840
141,311,4baa029cf964a52085433ae3,Woodbine Park,Sports and Recreation,840
160,516,4baa029cf964a52085433ae3,Woodbine Park,Park,648
161,516,4baa029cf964a52085433ae3,Woodbine Park,Sports and Recreation,648
180,643,4baa029cf964a52085433ae3,Woodbine Park,Park,469
181,643,4baa029cf964a52085433ae3,Woodbine Park,Sports and Recreation,469
200,0,4b5f9a3df964a52003c429e3,Greenwood Park,Park,791
209,18,4b5f9a3df964a52003c429e3,Greenwood Park,Park,201
218,19,4b5f9a3df964a52003c429e3,Greenwood Park,Park,896
227,174,4b5f9a3df964a52003c429e3,Greenwood Park,Park,846
236,175,4b5f9a3df964a52003c429e3,Greenwood Park,Park,568
245,231,4b5f9a3df964a52003c429e3,Greenwood Park,Park,613
254,260,4b5f9a3df964a52003c429e3,Greenwood Park,Park,889
263,270,4b5f9a3df964a52003c429e3,Greenwood Park,Park,437
272,462,4b5f9a3df964a52003c429e3,Greenwood Park,Park,783
281,0,4bfb074abbb7c928779a0743,Ashbridges Bay Beach Volleyball,Beach,941
290,2,4bfb074abbb7c928779a0743,Ashbridges Bay Beach Volleyball,Beach,827
299,69,4bfb074abbb7c928779a0743,Ashbridges Bay Beach Volleyball,Beach,583
308,73,4bfb074abbb7c928779a0743,Ashbridges Bay Beach Volleyball,Beach,528
317,146,4bfb074abbb7c928779a0743,Ashbridges Bay Beach Volleyball,Beach,709
326,262,4bfb074abbb7c928779a0743,Ashbridges Bay Beach Volleyball,Beach,871
335,311,4bfb074abbb7c928779a0743,Ashbridges Bay Beach Volleyball,Beach,457
344,516,4bfb074abbb7c928779a0743,Ashbridges Bay Beach Volleyball,Beach,567
353,643,4bfb074abbb7c928779a0743,Ashbridges Bay Beach Volleyball,Beach,105
362,0,4ad4c05ef964a520bef620e3,Ashbridge's Bay Park,Park,845
363,0,4ad4c05ef964a520bef620e3,Ashbridge's Bay Park,Beach,845
380,2,4ad4c05ef964a520bef620e3,Ashbridge's Bay Park,Park,762
381,2,4ad4c05ef964a520bef620e3,Ashbridge's Bay Park,Beach,762
398,69,4ad4c05ef964a520bef620e3,Ashbridge's Bay Park,Park,617
399,69,4ad4c05ef964a520bef620e3,Ashbridge's Bay Park,Beach,617
416,73,4ad4c05ef964a520bef620e3,Ashbridge's Bay Park,Park,399
417,73,4ad4c05ef964a520bef620e3,Ashbridge's Bay Park,Beach,399
434,146,4ad4c05ef964a520bef620e3,Ashbridge's Bay Park,Park,881
435,146,4ad4c05ef964a520bef620e3,Ashbridge's Bay Park,Beach,881
