,citybike_index,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,categories_names
0,0.0,Drn62oroI35wMeg1aMWlCw,woodbine-park-toronto,Woodbine Park,https://s3-media2.fl.yelpcdn.com/bphoto/RPuAR4UOseTVor-suCi9bw/o.jpg,False,https://www.yelp.com/biz/woodbine-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,10.0,"[{'alias': 'parks', 'title': 'Parks'}]",4.0,[],,,594.4277162889941,parks
1,0.0,BH-dRhebecIxScLPZh9-FA,ashbridge-estate-toronto,Ashbridge Estate,https://s3-media2.fl.yelpcdn.com/bphoto/bd_Tc3JPc3m3fuT_IM7y1g/o.jpg,False,https://www.yelp.com/biz/ashbridge-estate-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,1.0,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,[],+14163255000,+1 416-325-5000,237.3210776705448,parks
2,0.0,aTPPgfGzmemaKZdpkymt8A,greenwood-park-toronto,Greenwood Park,https://s3-media3.fl.yelpcdn.com/bphoto/PfBfptm1GP4U8-e2ZgIb3Q/o.jpg,False,https://www.yelp.com/biz/greenwood-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,11.0,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'skatingrinks', 'title': 'Skating Rinks'}]",3.0,[],,,814.3214141134338,parks
3,0.0,Tfb0k0UCxMhOe-YvspX3Pg,woodbine-beach-toronto,Woodbine Beach,https://s3-media2.fl.yelpcdn.com/bphoto/q9qGH8zTv975W_JrSP69ug/o.jpg,False,https://www.yelp.com/biz/woodbine-beach-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,26.0,"[{'alias': 'beaches', 'title': 'Beaches'}]",4.5,[],,,943.1349945099424,beaches
4,0.0,-Za5mjo-CYYUMsd1r8GC7Q,ashbridges-bay-park-toronto,Ashbridges Bay Park,https://s3-media3.fl.yelpcdn.com/bphoto/zhjfNfJSyN94fFoKNbZLmA/o.jpg,False,https://www.yelp.com/biz/ashbridges-bay-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,30.0,"[{'alias': 'beaches', 'title': 'Beaches'}, {'alias': 'parks', 'title': 'Parks'}]",3.5,[],,,959.6323635115904,beaches
5,0.0,2xpzryM9Tio1SJin5l0Hmg,jonathan-ashbridge-park-toronto,Jonathan Ashbridge Park,https://s3-media4.fl.yelpcdn.com/bphoto/tytN2rEAcr3SGvFGZCkwSQ/o.jpg,False,https://www.yelp.com/biz/jonathan-ashbridge-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,1.0,"[{'alias': 'parks', 'title': 'Parks'}]",2.0,[],,,73.30800846501171,parks
6,0.0,dr57Gr2FeEGL7xSutbGSaQ,measurement-park-toronto,Measurement Park,https://s3-media2.fl.yelpcdn.com/bphoto/BKZYC04J9N5NdaLRbZzHOg/o.jpg,False,https://www.yelp.com/biz/measurement-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,3.0,"[{'alias': 'parks', 'title': 'Parks'}]",3.0,[],,,595.4541067261719,parks
7,0.0,-YiW2V4hGyAHx5k6R2610Q,ashbridges-bay-skate-park-toronto,Ashbridges Bay Skate Park,https://s3-media2.fl.yelpcdn.com/bphoto/5iUk8nQnk8TGiVuBSUxwVA/o.jpg,False,https://www.yelp.com/biz/ashbridges-bay-skate-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,2.0,"[{'alias': 'skate_parks', 'title': 'Skate Parks'}]",3.5,[],,,393.91144776868924,skate_parks
8,1.0,JODWOfeEICAlO2T_VAEbSg,earlscourt-park-toronto,Earlscourt Park,https://s3-media4.fl.yelpcdn.com/bphoto/T7TgPzVCGm9mem2vXZAqhQ/o.jpg,False,https://www.yelp.com/biz/earlscourt-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,7.0,"[{'alias': 'dog_parks', 'title': 'Dog Parks'}]",3.5,[],,,500.7945405557504,dog_parks
9,1.0,l_CGwZemu7WGp8dbsdrfzQ,wallace-emerson-community-centre-toronto,Wallace Emerson Community Centre,https://s3-media2.fl.yelpcdn.com/bphoto/Uy1bGbYh8_H6OIdhnSq8yA/o.jpg,False,https://www.yelp.com/biz/wallace-emerson-community-centre-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,6.0,"[{'alias': 'swimmingpools', 'title': 'Swimming Pools'}, {'alias': 'recreation', 'title': 'Recreation Centers'}]",3.0,[],+14163920039,+1 416-392-0039,686.7315589108724,swimmingpools
10,1.0,dzWdAHIEQPlAt_kbiuohgg,macgregor-park-toronto,MacGregor Park,https://s3-media4.fl.yelpcdn.com/bphoto/9R_LNQgvYcqkSeYQ0BPErg/o.jpg,False,https://www.yelp.com/biz/macgregor-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,1.0,"[{'alias': 'parks', 'title': 'Parks'}]",4.0,[],,,733.0652599275508,parks
11,1.0,SucEHgmWcUrhs9z8ZJ85pw,symington-avenue-playground-toronto,Symington Avenue Playground,https://s3-media3.fl.yelpcdn.com/bphoto/xXsMP8TaKqGPP_YWXwNCmw/o.jpg,False,https://www.yelp.com/biz/symington-avenue-playground-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,1.0,"[{'alias': 'playgrounds', 'title': 'Playgrounds'}]",3.0,[],,,715.6418965593309,playgrounds
12,2.0,Drn62oroI35wMeg1aMWlCw,woodbine-park-toronto,Woodbine Park,https://s3-media2.fl.yelpcdn.com/bphoto/RPuAR4UOseTVor-suCi9bw/o.jpg,False,https://www.yelp.com/biz/woodbine-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,10.0,"[{'alias': 'parks', 'title': 'Parks'}]",4.0,[],,,499.41819828874355,parks
13,2.0,aTPPgfGzmemaKZdpkymt8A,greenwood-park-toronto,Greenwood Park,https://s3-media3.fl.yelpcdn.com/bphoto/PfBfptm1GP4U8-e2ZgIb3Q/o.jpg,False,https://www.yelp.com/biz/greenwood-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,11.0,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'skatingrinks', 'title': 'Skating Rinks'}]",3.0,[],,,920.1580817910476,parks
14,2.0,BH-dRhebecIxScLPZh9-FA,ashbridge-estate-toronto,Ashbridge Estate,https://s3-media2.fl.yelpcdn.com/bphoto/bd_Tc3JPc3m3fuT_IM7y1g/o.jpg,False,https://www.yelp.com/biz/ashbridge-estate-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,1.0,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",5.0,[],+14163255000,+1 416-325-5000,420.24192276395553,parks
15,2.0,Tfb0k0UCxMhOe-YvspX3Pg,woodbine-beach-toronto,Woodbine Beach,https://s3-media2.fl.yelpcdn.com/bphoto/q9qGH8zTv975W_JrSP69ug/o.jpg,False,https://www.yelp.com/biz/woodbine-beach-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,26.0,"[{'alias': 'beaches', 'title': 'Beaches'}]",4.5,[],,,838.2349895193498,beaches
16,2.0,-Za5mjo-CYYUMsd1r8GC7Q,ashbridges-bay-park-toronto,Ashbridges Bay Park,https://s3-media3.fl.yelpcdn.com/bphoto/zhjfNfJSyN94fFoKNbZLmA/o.jpg,False,https://www.yelp.com/biz/ashbridges-bay-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,30.0,"[{'alias': 'beaches', 'title': 'Beaches'}, {'alias': 'parks', 'title': 'Parks'}]",3.5,[],,,891.4575032470036,beaches
17,2.0,dr57Gr2FeEGL7xSutbGSaQ,measurement-park-toronto,Measurement Park,https://s3-media2.fl.yelpcdn.com/bphoto/BKZYC04J9N5NdaLRbZzHOg/o.jpg,False,https://www.yelp.com/biz/measurement-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,3.0,"[{'alias': 'parks', 'title': 'Parks'}]",3.0,[],,,412.5355553263055,parks
18,2.0,2xpzryM9Tio1SJin5l0Hmg,jonathan-ashbridge-park-toronto,Jonathan Ashbridge Park,https://s3-media4.fl.yelpcdn.com/bphoto/tytN2rEAcr3SGvFGZCkwSQ/o.jpg,False,https://www.yelp.com/biz/jonathan-ashbridge-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,1.0,"[{'alias': 'parks', 'title': 'Parks'}]",2.0,[],,,258.47864346563733,parks
19,2.0,-YiW2V4hGyAHx5k6R2610Q,ashbridges-bay-skate-park-toronto,Ashbridges Bay Skate Park,https://s3-media2.fl.yelpcdn.com/bphoto/5iUk8nQnk8TGiVuBSUxwVA/o.jpg,False,https://www.yelp.com/biz/ashbridges-bay-skate-park-toronto?adjust_creative=C3SB6jN-CFWUr0P-X-hVGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=C3SB6jN-CFWUr0P-X-hVGg,2.0,"[{'alias': 'skate_parks', 'title': 'Skate Parks'}]",3.5,[],,,398.7294060974922,skate_parks
